"company_code;plant_code;supplier_code;supplier_plant;part_code;part_name;line_dc;date_scan_dc;npk_dc;line_ma;date_scan_ma;npk_ma;line_delivery;date_scan_delivery;npk_delivery;cust_part_number","","","","","","","","","","","","","","",""
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-26","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-26","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-26","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-26","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-26","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-26","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","08","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","08","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","08","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","08","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","08","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","08","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","08","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","08","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","08","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","08","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","08","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","08","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","08","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","09","2018-12-27","001248","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","08","2018-12-27","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","04","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","05","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","05","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","05","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","05","2018-12-27","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","06","2018-12-28","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","02","2018-12-29","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","02","2018-12-29","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","02","2019-01-02","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-26","001357","07","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA007","2018-12-27","001540","01","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","02","2018-12-29","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","02","2019-01-02","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","01","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","02","2018-12-29","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","01","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","02","2019-01-02","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","02","2019-01-02","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","02","2019-01-02","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","03","2019-01-02","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","02","2019-01-02","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","03","2019-01-02","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","01","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","03","2019-01-02","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","01","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","01","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","01","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","02","2018-12-29","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","02","2018-12-29","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA007","2018-12-27","001540","07","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","01","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA007","2018-12-27","001540","07","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","02","2018-12-29","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA007","2018-12-27","001540","07","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA007","2018-12-27","001540","07","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","01","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","02","2018-12-29","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","01","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","01","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","02","2018-12-29","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA007","2018-12-27","001540","07","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","02","2018-12-29","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA006","2018-12-27","001357","02","2018-12-29","001280","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA007","2018-12-27","001540","07","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA007","2018-12-27","001540","07","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA007","2018-12-27","001540","07","2018-12-28","001113","12101-OYO40"
"807J","6","5011","2","","null","DCAA04","2018-12-26","001594","MA007","2018-12-27","001540","07","2018-12-28","001113","12101-OYO40"
